name,link,price,location,picture,installment,extra,day,site
Placa de Vídeo ASUS Geforce GTX 1050 2GB,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-asus-geforce-gtx-1050-2gb-1363793111,R$ 499,"Ibirité, Primavera",https://img.olx.com.br/images/34/346431354149332.webp,"3x de R$ 166,33","['Pague Online', 'Parcelamento sem juros']","12 de mai, 10:27",OLX
Placa de Vídeo Gigabyte GeForce GTX 1660 Super OC 6G,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-gigabyte-geforce-gtx-1660-super-oc-6g-1394820271,R$ 1.200,"Ipatinga, Jardim Panorama",https://img.olx.com.br/images/72/723581274127037.webp,"3x de R$ 400,00","['Entrega Fácil', 'Pague Online', 'Parcelamento sem juros']","12 de mai, 06:32",OLX
Placa de Vídeo NVIDIA GeForce FX 5200 128mb,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-nvidia-geforce-fx-5200-128mb-1385489070,R$ 99,"Itabira, Água Fresca",https://img.olx.com.br/images/66/667596623762619.webp,"3x de R$ 33,00","['Entrega Fácil', 'Pague Online', 'Parcelamento sem juros']","12 de mai, 05:01",OLX
Placa de vídeo soyo dragon rx 550 4gb,https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/informatica/placas-de-video/placa-de-video-soyo-dragon-rx-550-4gb-1319241922,R$ 480,"Montes Claros, Roxo Verde",https://img.olx.com.br/images/87/877465426156540.webp,"3x de R$ 160,00","['Entrega Fácil', 'Pague Online', 'Parcelamento sem juros']","12 de mai, 04:47",OLX
"Placa de Vídeo Asus NVIDIA GeForce ROG Strix RTX 3060 12G V2 Gaming OC Edition, 12GB GDDR",https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/informatica/placas-de-video/placa-de-video-asus-nvidia-geforce-rog-strix-rtx-3060-12g-v2-gaming-oc-edition-12gb-gddr-1384947451,R$ 2.500,"Montes Claros, Cândida Câmara",https://img.olx.com.br/images/93/933520024378392.webp,"3x de R$ 833,33","['Entrega Fácil', 'Pague Online', 'Parcelamento sem juros']","12 de mai, 04:39",OLX
Placa de Vídeo HUANANZHI GTX650 2G DDR5 COM DEFEITO ?,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-huananzhi-gtx650-2g-ddr5-com-defeito-1402814533,R$ 100,"Belo Horizonte, Maria Helena",https://img.olx.com.br/images/74/744577762913488.webp,"3x de R$ 33,33","['Entrega Fácil', 'Pague Online', 'Parcelamento sem juros']","11 de mai, 22:41",OLX
Placa de Vídeo MSI GeForce RTX,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/informatica/placas-de-video/placa-de-video-msi-geforce-rtx-1402688545,R$ 3.100,Machado,https://img.olx.com.br/images/64/640542409603417.webp,"3x de R$ 1.033,33","['Entrega Fácil', 'Pague Online', 'Parcelamento sem juros']","11 de mai, 06:50",OLX
Placa de vídeo GT 705 GeForce,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-gt-705-geforce-1394042972,R$ 200,"Belo Horizonte, Nova Cachoeirinha",https://img.olx.com.br/images/32/322548150312093.webp,"3x de R$ 66,67","['Entrega Fácil', 'Pague Online', 'Parcelamento sem juros']","10 de mai, 13:44",OLX
"Placa de Vídeo,  placa de áudio, placa de wifi",https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/informatica/placas-de-video/placa-de-video-placa-de-audio-placa-de-wifi-1402476657,R$ 50,Monte Azul,https://img.olx.com.br/images/59/591565883756164.webp,"1x de R$ 50,00","['Entrega Fácil', 'Pague Online']","10 de mai, 07:48",OLX
Placa deVídeo GEFORCE RTX 2060,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-devideo-geforce-rtx-2060-1411349162,R$ 1.299,"Belo Horizonte, Ouro Preto",https://img.olx.com.br/images/37/378567651638779.webp,"3x de R$ 433,00","['Pague Online', 'Parcelamento sem juros']","Ontem, 20:21",OLX
Placa mãe ASUS TUF GAMING Z690-PLUS D4,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-mae-asus-tuf-gaming-z690-plus-d4-1384501822,R$ 1.750,"Belo Horizonte, Santa Lúcia",https://img.olx.com.br/images/48/483541262348146.webp,"3x de R$ 583,33","['Entrega Fácil', 'Pague Online', 'Parcelamento sem juros']","9 de jun, 14:31",OLX
Placa R7 370 ,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-r7-370-1410188578,R$ 250,"Belo Horizonte, Nova Gameleira",https://img.olx.com.br/images/95/958559536112196.webp,"3x de R$ 83,33","['Entrega Fácil', 'Pague Online', 'Parcelamento sem juros']","6 de jun, 09:48",OLX
Placa MSI 8400GS,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-msi-8400gs-1363307933,R$ 110,"Betim, Jardim Brasília",https://img.olx.com.br/images/91/910411475576237.webp,"3x de R$ 36,67","['Entrega Fácil', 'Pague Online', 'Parcelamento sem juros']","21 de mai, 14:17",OLX
Placa PC ,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-pc-1404014249,R$ 900,Capim Branco,https://img.olx.com.br/images/85/854517402276319.webp,"3x de R$ 300,00","['Entrega Fácil', 'Pague Online', 'Parcelamento sem juros']","15 de mai, 08:38",OLX
9800gt Placa de vídeo com ótimo desempenho,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/9800gt-placa-de-video-com-otimo-desempenho-1411383785,R$ 100,"Igarapé, Santa Mônica",https://img.olx.com.br/images/29/299588054454553.webp,"3x de R$ 33,33","['Entrega Fácil', 'Pague Online', 'Parcelamento sem juros']","Ontem, 23:18",OLX
"Ótimo estado! [Placa de Vídeo Galax NVIDIA] usado, funcionando perfeitamente",https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/informatica/placas-de-video/otimo-estado-placa-de-video-galax-nvidia-usado-funcionando-perfeitamente-1400014738,R$ 650,Manga,https://img.olx.com.br/images/96/963511042702397.webp,"3x de R$ 216,67","['Entrega Fácil', 'Pague Online', 'Parcelamento sem juros']","5 de jun, 05:54",OLX
"NOVA, com Garantia! Placa de Vídeo GPU AMD Radeon RX550 4GB Soyo ou Mllse",https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/informatica/placas-de-video/nova-com-garantia-placa-de-video-gpu-amd-radeon-rx550-4gb-soyo-ou-mllse-1357788426,R$ 425,"Três Corações, Parque Bandeirantes",https://img.olx.com.br/images/13/132401826923537.webp,"3x de R$ 141,67","['Entrega Fácil', 'Pague Online', 'Parcelamento sem juros']","1 de jun, 10:01",OLX
